converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,method
1,0.0009890473777719386,0.0003610612850623161,979,0.23991009988822043,0.22234761970671887,0.14321573550101666,0.8010392370613699,1.6772178794647825,0.5268630029864386,0.47770714801808767,2.204962796054671,0.43652301183645026,SVD2
0,0.03183782698070963,0.06292762615298846,163,0.036180099938064814,0.006025372128523145,0.002231684012307231,1.7480352637788075,0.10464076124287479,0.323710652957985,1.5488399564965734,0.5829699204945022,1.0406334074109402,QPSO2
1,0.0009647777826952011,0.0005764639387273326,375,0.048908199882134795,0.3271299307246252,0.07209920565521896,2.988899115068774,1.289587064810802,0.6113926660075049,1.9786482251468227,1.145521238705439,2.9074581591425903,SVD
1,0.0009502457089756175,0.00042504244938617285,75,0.01138439984060824,0.2685325740295497,0.05823160977847659,2.77607956760383,0.8825238668600281,0.6157892876212041,2.072101771850383,1.9813516460113867,2.8201982741362346,SVD
1,0.0009206950480332411,0.0004761705456014263,255,0.059134099865332246,0.5426877843739032,0.12317980760318445,0.780258385778561,1.2779873313409382,0.763509118110605,1.1267309475010543,1.3349844898693082,1.3366065954887318,SVD2
1,0.0008528450474068011,0.0002503068361200485,40,0.008863900089636445,0.5439431537160244,0.1501426841828378,2.907826358384606,0.7341576811747186,0.9923458717660486,1.0540133395543965,2.1723198843848692,2.2929688651765208,SVD
1,0.0009282049602111666,0.0002040571576702546,32,0.004222000017762184,0.4619483044230658,0.21230359167737253,1.6541028115285188,1.857149244278808,0.9308322415187033,0.20051807367497387,2.552288553547661,1.392794736419078,SVD
0,0.08769676231724523,0.15291483406676898,207,0.05173629987984896,3.135083446740184e-17,7.924302811424396e-18,2.0261938007680507,0.3885553764671088,4.960432349650854e-11,1.4229680543947456,1.17771875952673,1.9320835596229244,QPSO2
0,0.12838196379595973,0.2591687709349638,254,0.061654800083488226,7.147401872479132e-18,3.5851429486821415e-18,2.9919415475364763,1.0189908257145674,0.0,1.1979788812010082,2.207946611045237,0.27131005844093137,QPSO2
1,0.0009150788953324497,0.0003296273964669219,35,0.00755350012332201,0.4129864242512089,0.10519619346428374,2.5640432683185868,0.6328142945628148,0.9123932836025245,1.2472596201507793,2.146447060321279,1.0247091351580675,SVD
1,0.0009740482761718083,0.0005691218450245743,62,0.008960300125181675,0.2402853982498184,0.06986856794645306,0.6720165604294048,1.2786648747989462,0.5257462366977805,0.8991914797698204,1.1379391631382454,0.6765039065186409,SVD
1,0.0009960534865476552,0.0006840382636577563,143,0.021443399833515286,0.13284356375902104,0.03741474360151386,1.1879285887007056,1.3551456754709994,0.5331956897053476,2.0831714199569857,0.4987738525335019,1.9608494668020844,SVD
1,0.0009448606093595107,0.00029687955782626814,72,0.010870400117710233,0.29693270823511747,0.07465472340760344,1.227054517613476,1.0487668931074667,0.8215907864482214,0.5663247746860556,2.6093287662547384,2.2605079137900397,SVD
1,0.0009827659372085712,0.0005907846398771453,99,0.01483969995751977,0.3654964279846303,0.06091668486390732,0.8220534650122007,2.336777931505502,0.7815538547313072,0.9017059381746284,0.9795580369624854,1.6350968379246893,SVD
0,0.005274705344530802,0.013144611767986068,1000,0.30827299994416535,0.17475507551198097,0.039271002313775095,0.2219929521855284,1.3087620865937346,0.6019433044118052,0.12350028030029359,0.5228445766671244,2.385766446086998,QPSO
1,0.0009615739095122557,0.0003895791114666938,99,0.01630329992622137,0.45326413991355147,0.14140422697553984,1.58809965052518,1.2656671039720038,0.7649860916366806,0.9417691533804815,2.1939347595409826,0.09271320668490769,SVD
1,0.0009680563485601508,6.999933007854493e-05,241,0.037440699990838766,0.10930724002169186,0.0590062843165168,0.22969089206049056,0.9034894212533668,0.901806430005204,1.5642844889032093,2.9696342552553947,0.18320100774019996,SVD
1,0.0009513554860520557,0.0004100758743891507,71,0.0104396000970155,0.2150332915413326,0.10167903902083478,0.03845333502224646,1.3803257786276544,0.4934974067797557,0.19489887343214818,1.1179643692597372,0.5381495563557204,SVD
1,0.0009656736805827621,0.00028680501668345264,53,0.007110900012776256,0.25370604127467816,0.07391813016283282,2.804453092825566,1.1901025618527772,0.755540385396759,0.722858026803661,2.642402176397699,1.6271800740777091,SVD
1,0.0009204300563228758,0.00011291340737311482,40,0.0067084000911563635,0.4670575323848983,0.17532923874554407,2.6907138820663845,1.9774412062795719,0.717367605946779,0.47726267799257993,1.7247926084693184,0.7707037859433497,SVD
0,0.01662606432493193,0.02228916856989906,344,0.0847416000906378,4.466575515435746e-05,1.1191355740691713e-05,0.9299689342635791,0.1718682824918205,0.017456680025764084,2.6077006332429122,2.11211565332309,2.492453322514973,QPSO2
0,0.08765879409713152,0.16901539325287138,222,0.05280599999241531,8.487495962256846e-17,3.941260033934474e-17,0.6339753429599417,0.9385967028277058,0.0,2.2125322692285017,1.5128555538436776,0.6682461927504986,QPSO2
0,0.0874538189370473,0.16553285231944723,249,0.06059019989334047,2.196408405356325e-16,5.515617224372547e-17,2.5687495436517764,0.41756531758952825,0.0,0.7751316862244169,1.58004243644118,0.3623896359946075,QPSO2
1,0.0009960496635596405,0.00048145617568613535,62,0.010164299979805946,0.24766221904781385,0.06744643392532758,0.013009557941145554,0.7283859326217024,0.675270109516763,1.2566687997289128,2.1872715621601753,0.2277740839877298,SVD
1,0.00078780059920418,0.0003989327645141229,18,0.002993399975821376,0.9403328497921168,0.1528863779270119,1.585504516813052,1.4745067878564972,0.9876596101315663,2.303285500183174,1.8226026604698573,1.2649713825959294,SVD
0,0.14770354082345258,0.2744147414019874,165,0.03696470009163022,4.3942381630385957e-17,2.3049404874322282e-17,0.14303817504838004,1.0923640996288628,0.0,0.19262482870507647,0.07125113957530306,0.15975883498620336,QPSO2
1,0.0009693717107466837,0.00024798300367191007,71,0.010875900043174624,0.24158927362773872,0.09957003032617301,2.780402814961915,0.8418246919007117,0.5913138808372067,0.06724103845225615,1.9569365249025683,0.5334458570919578,SVD
1,0.0008031609781323105,0.0003226198040333057,31,0.004318000050261617,0.6426257967226723,0.12465237977876172,1.0055167126981681,1.1214929613437254,0.8543781625485135,0.8947954907231543,1.78400045551379,0.2643646359615981,SVD
1,0.0009687562235953448,0.00031251825904554995,51,0.007623699959367514,0.3589977098174398,0.07183070082180176,0.6616087403828645,0.7528871494677446,0.8307477811963517,0.07458351339445544,2.2770842728936613,0.8848543625147132,SVD
0,0.046532329203102865,0.02797602251007374,134,0.02644199994392693,0.005150500070240812,0.0011485872369192192,2.5157175444591973,2.76445525445586,0.6960961686756038,0.9036261877499453,0.02886795548935428,0.02265622091290531,QPSO2
1,0.0008427496929935186,0.001350112186248315,185,0.045845799846574664,0.2922988692918287,0.11858478510606903,2.840313315018924,2.323897472271356,0.7179565016708758,0.008135428295473979,2.2513029054495357,1.6658699145726912,QPSO
1,0.0008981336463470441,0.0002692557004016816,63,0.009641499957069755,0.30667993803619475,0.1716180918526535,0.6880849285313717,1.6155783494034504,0.600688220427093,0.02897436843735468,2.124104460152732,1.5450172913297875,SVD
1,0.0009528514613475898,0.0007767394643891837,63,0.008506199810653925,0.48523120136644715,0.07343862482521424,1.8445540091524357,1.5241117021591144,0.8377982063154693,0.8824931273547847,0.764337993819046,1.9314859204151773,SVD
1,0.0009791809394549351,0.00031323779308510216,192,0.06651410018093884,0.7288293683791907,0.204284284534888,2.0041618246113044,1.2601494245322509,0.9301135766642169,0.9406503572191349,2.055485247300397,0.17364403957988772,SVD2
0,0.12115416086019232,0.17965200460098107,198,0.08542250003665686,5.792163949188574e-17,2.657659841530575e-17,0.09883429283563183,1.038090355691478,0.0,0.46850751924622,0.5985020533181404,0.8581600016684616,QPSO2
1,0.000989486790071822,0.00021158594483960914,62,0.01144860009662807,0.3001367723678115,0.08672085601128318,2.4516120011820792,1.0514677706843765,0.9673584136689692,1.0164259654867784,2.7631823200754617,1.4442039312091324,SVD
1,0.0009420721638824692,0.0005995345512388284,191,0.03682339983060956,0.5830149798908097,0.08718952066194667,2.6728661404751497,2.0676766603122614,0.8604028496332262,1.0744700265362823,1.1104115843748423,1.2373308490004973,SVD2
1,0.0008006811350390474,0.00029140025909487867,31,0.006121000042185187,0.6945523394032974,0.165352574154151,2.1819828328277504,2.1960990228837467,0.9315139323182833,0.46987739226244507,1.4108375887950784,3.0511027060199893,SVD
