converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,method
0,0.002905268620850041,0.0012594390374717497,1000,0.10795400000642985,1.4432908193311683e-16,4.35249878535922e-17,2.7710980975495363,0.5310594609715417,0.0,1.9243037246476717,1.0268828348251988,1.390184068133015,SVD2
1,0.0007402138891236822,0.0005531490926132897,337,0.06808930000988767,0.00014721689085515186,3.980724040142418e-05,1.6261975585984434,3.0661426148060764,0.897505172475214,0.8952572015416016,0.002424581624637323,0.1931886735856101,SVD2
1,0.0008954684792492967,0.0002932731218490661,44,0.004855100007262081,3.7638413035371687e-06,2.4252678783875235e-06,0.29393282431058587,2.0697280592233476,0.00239997777463078,1.1659490646482515,0.8393006543656698,0.6454787832584268,SVD
0,0.004662902448508523,0.0024096497511178015,1000,0.10405190000892617,0.006376234797581506,0.004701528202221828,1.5693581048778489,1.7938713843637046,0.15773139594467284,0.0804500888752,0.2659226012896685,0.24687782800562005,SVD2
0,0.004750539086212304,0.0025090557527538892,1000,0.11277139998856,0.019267672711784797,0.007296636922531609,0.5358033299870555,2.3143552660778632,0.4497436335461044,0.3648889258691263,0.12977867620166528,0.47036007371168687,SVD2
1,0.000977513997549282,0.00035310715431976234,12,0.0015471999940928072,0.0012045985165034744,0.00027881751852070873,1.0842219591859674,0.24304670099670744,0.07090820762463534,1.7678827019686825,1.4759532846084307,1.0726956724008332,SVD
0,0.1244292874333408,0.012225203878341414,1000,0.11680119999800809,1.1322646156675493e-16,6.451989615200104e-17,0.38204692065744217,0.4303466230853408,0.0,1.2342793221138693,0.3303674387543394,1.1566985952205804,SVD2
1,0.000874643271344156,0.0007050589683558653,14,0.0015330000023823231,0.0014726008303334386,0.00035930024979372347,0.9742180027703888,0.17758697533764467,0.11942111970153285,4.786030202597047e-05,0.6242840596037591,0.16916061453313302,SVD
0,0.0017634506698734247,0.0005714972868745558,1000,0.11276309998356737,0.03501398498144095,0.011408718692636245,1.083556683645952,3.006150237441327,0.5326118815395668,2.6164642937348983,1.9883094356744169,1.1800183896831724,SVD2
0,0.001976080102870885,0.0009773425184133623,1000,0.10547290000249632,0.03121547216650842,0.008685927669855351,1.0018131398420538,0.6288322598365745,0.2391501517460283,1.5843242743094255,1.9528421257839312,0.28029890376710664,SVD2
